id,genres,original_title,overview,backdrop_path,poster_path,budget,release_date,revenue,runtime,year,trailer
1126166,"Action, Thriller, Crime",Flight Risk,"A U.S. Marshal escorts a government witness to trial after he's accused of getting involved with a mob boss, only to discover that the pilot who is transporting them is also a hitman sent to assassinate the informant. After they subdue him, they're forced to fly together after discovering that there are others attempting to eliminate them.",/gFFqWsjLjRfipKzlzaYPD097FNC.jpg,/q0bCG4NX32iIEsRFZqRtuvzNCyZ.jpg,25000000,2025-01-22,40420193,91,2025,Cml3CFDBj2s
1064213,"Drama, Comedy, Romance",Anora,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",/87GU2ifjNYtgYtcRH1NNH1P4ODo.jpg,/qh8m8Udz0sCa5gy9VaqfHPh0yPM.jpg,6000000,2024-10-14,46860968,139,2024,8m6UrWMl18M
762509,"Adventure, Family, Animation",Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",/1w8kutrRucTd3wlYyu5QlUDMiG1.jpg,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg,200000000,2024-12-18,700197856,118,2024,lMXh6vjiZrI
1241982,"Animation, Adventure, Family, Comedy",Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,150000000,2024-11-21,1056396565,99,2024,JdSl4RMNtGE
939243,"Action, Science Fiction, Comedy, Family, Adventure, Fantasy",Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg,122000000,2024-12-19,486018457,110,2024,LH1J1EbqCaI
822119,"Action, Thriller, Science Fiction",Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",/ywe9S1cOyIhR5yWzK7511NuQ2YX.jpg,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,180000000,2025-02-12,371056272,119,2025,5PSzFLV-EyQ
912649,"Action, Science Fiction, Adventure",Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",/vZG7PrX9HmdgL5qfZRjhJsFYEIA.jpg,/vGXptEdgZIhPg3cGlc7e8sNPC2e.jpg,120000000,2024-10-22,478103649,109,2024,FKBN1qAzW3s
539972,"Action, Adventure, Thriller",Kraven the Hunter,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,/1GvBhRxY6MELDfxFrete6BNhBB5.jpg,120000000,2024-12-11,59184643,127,2024,hR1-ihzff3I
558449,"Action, Adventure, Drama",Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",/8mjYwWT50GkRrrRdyHzJorfEfcl.jpg,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,310000000,2024-11-13,458718000,147,2024,TQwSz88ITAE
933260,"Horror, Science Fiction, Drama, Comedy",The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",/t98L9uphqBSNn2Mkvdm3xSFCQyi.jpg,/cGm2qnmXx9tFabmzEIkJZjCJdQd.jpg,17500000,2024-09-07,76506196,141,2024,lR5nlovVgvQ
